省份,城市,区域,院校名称,建校时间,隶属于,985工程,211工程,双一流,强基,国家重点学科,硕士点,博士点,重点实验室,占地面积(亩),院校类型,办学类型,办学性质,电子邮箱,地址,官方网址,官方电话,简介
江苏,盐城市,,盐城师范学院,1958,江苏省,,,,,0,0,0,0,1500,师范类,普通本科,公办,zsb@yctu.edu.cn,通榆校区：江苏省盐城市开放大道50号;新长校区：江苏省盐城市希望大道南路2号,http://www.yctc.edu.cn/,"0515-88233059,0515-88223919",盐城师范学院是江苏省属公办本科院校，坐落在江苏沿海开放城市盐城市市区。学校创建于1958年，前身是盐城师范专科学校和盐城教育学院;2002年国家级重点中专盐城商业学校并入。学校现有通榆和新长两个校区，校园占地面积1500亩。学校现有全日制在校本科生21000人，设有文学院、法政学院、马克思主义学院、公共管理学院、外国语学院、音乐学院、美术与设计学院、教育
重庆,重庆市,渝中区,重庆医科大学,1956,重庆市,,,,,4,12,7,5,2650,医药类,普通本科,公办,zhaoban@cqmu.edu.cn,重庆市渝中区医学院路1号,http://www.cqmu.edu.cn/,"023-65714673,023-65714674,023-68485358",学校创建于1956年，由上海第一医学院（现复旦大学上海医学院）分迁来渝组建，原名重庆医学院，1985年更名为重庆医科大学，是国务院学位委员会批准的首批具有博士和硕士学位授予权的单位，是教育部批准的首批来华留学示范基地。2015年成为重庆市人民政府、国家卫生健康委员会（原国家卫生计生委）和教育部共建高校，2016年成为“高等学校学科创新引智计划”（“111计
江西,南昌市,,江西师范大学,1940,江西省,,,,,0,31,9,0,3500,师范类,普通本科,公办,jxsdzb@126.com,瑶湖校区：江西省南昌市紫阳大道99号;青山湖校区：江西省南昌市北京西路437号,http://www.jxnu.edu.cn/,"0791-88120152,0791-88120151",江西师范大学是教育部、江西省人民政府共建高校和中西部高校基础能力建设工程高校。学校融文学、历史学、哲学、经济学、管理学、法学、理学、工学、教育学、艺术学等十大学科门类于一体，位于具有深厚历史文化底蕴，素有“物华天宝、人杰地灵”美誉的江西省省会南昌，对江西的政治、经济、文化和社会发展有较大影响，被江西省人民政府确定为优先发展的省属重
江苏,南京市,栖霞区,南京中医药大学,1954,江苏省,,,是,,4,11,4,5,1500,医药类,普通本科,公办,zsb@njutcm.edu.cn,南京仙林大学城仙林大道138号,http://www.njucm.edu.cn/,"025-85811852,17826007720,17826007721",南京中医药大学是国家“双一流”建设高校和江苏省高水平大学建设高校，是江苏省人民政府与国家中医药管理局共建高校。学校始建于1954年，是全国建校最早的高等中医药院校之一，建校64年来，南京中医药大学为新中国高等中医药教育培养输送了第一批师资，主持编写了第一套教材和教学大纲，诞生了中医药界最早的学部委员，为新中国高等中医教育模式的确立和推广做
江苏,南京市,,南京林业大学,1902,江苏省,,,是,,4,24,8,5,10751,农林类,普通本科,公办,zsb@njfu.edu.cn,江苏省南京市龙蟠路159号,http://www.njfu.edu.cn/,"025-85427320,400-928-1115",南京林业大学坐落于风景秀丽的紫金山麓、碧波荡漾的玄武湖畔，是中央与地方共建的省属重点高校，于2017年入选国家“双一流”建设高校名单。学校前身为中央大学(创建于1902年)森林系和金陵大学(创建于1910年)森林系，1952年合并组建的南京林学院，是当时全国仅有的三所高等林业院校之一。1955年华中农学院林学系(武汉大学、南昌大学和湖北农学院森林系合并组成)并入，197
江苏,南京市,,南京体育学院,1956,江苏省,,,,,0,1,0,0,640,体育类,普通本科,公办,zsb@nsi.edu.cn,南京市玄武区灵谷寺路8号;南京市栖霞区仙林大道169号,http://www.nipes.cn/,025-84755150,南京体育学院始建于1956年，由南京体育学校、江苏师范学院体育专修科和江苏省体育干部培训班合并而成，是江苏省唯一一所独立建制的体育高等学府和重要的省级竞技体育训练基地，是江苏省体育局和江苏省教育厅共管的省属重点建设大学，被誉为“世界冠军的摇篮”。学校坐落于古都南京，拥有灵谷寺、仙林、五棵松(筹)、滨江四个校区。灵谷寺主校区位于南京市东郊紫
江苏,南京市,,南京邮电大学,1942,江苏省,,,是,,1,21,3,3,3000,理工类,普通本科,公办,zsk@njupt.edu.cn,仙林校区地址：南京市亚东新城区文苑路9号;三牌楼校区地址：南京市新模范马路66号,http://www.njupt.edu.cn,"025-85866669,025-85866668",南京邮电大学是国家“双一流”建设高校和江苏高水平大学建设高校，其前身是1942年诞生于山东抗日根据地的八路军战邮干训班，是我党、我军早期系统培养通信人才的学校之一。1958年经国务院批准改建为本科高校，取名南京邮电学院;2005年4月，更名为南京邮电大学。学校原为邮电部和信息产业部直属重点高校，2000年起实行中央与地方(现为工业和信息化部、国家邮政局与江
江苏,徐州市,,江苏师范大学,1952,江苏省,,,,,9,35,0,0,2457,师范类,普通本科,公办,zsb@jsnu.edu.cn,江苏省徐州市铜山新区上海路101号;江苏省徐州市云龙区和平路57号,http://www.jsnu.edu.cn/,0516-83403064,江苏师范大学是江苏省人民政府和教育部共建高校，是江苏高水平大学建设高校。学校前身是1952年创办于江苏无锡的苏南军区转业干部文化速成学校，战功卓著的刘先胜中将为第一任校长。1956年学校暂名“江苏省中学师资训练班”(无锡师范专科学校筹备处)，正式纳入普通高等教育序列招生。1957年成立江苏师范专科学校。1958年学校北迁徐州，1959年与徐州师范专科学校合并，
江西,南昌市,,江西农业大学,1905,江西省,,,,,4,20,6,12,16000,农林类,普通本科,公办,jxndzsb@126.com,江西省南昌经济技术开发区志敏大道1101号,http://www.jxau.edu.cn/,0791-83813214,江西农业大学是一所以农为优势、以生物技术为特色、多学科协调发展的有特色高水平大学。具有博士学位授予权，是我国首批具有学士学位、硕士学位授予权单位之一，是江西省最早开展研究生教育的高校。是农业农村部与江西省人民政府共建高校，国家林业和草原局与江西省人民政府共建高校，国家“中西部高校基础能力建设工程”高校。学校位于南昌经济技术开发区，
重庆,重庆市,沙坪坝区,四川外国语大学,1950,重庆市,,,,,0,5,1,2,1065,语言类,普通本科,公办,,重庆市沙坪坝区壮志路33号,http://www.sisu.edu.cn,"023-65385206,023-65383326",四川外国语大学（简称“川外”，英文为SichuanInternationalStudiesUniversity，缩写为SISU）坐落在重庆市沙坪坝区，是一所公办全日制普通本科院校，是西南地区外语和涉外人才培养以及外国语言文化、对外经济贸易、国际问题研究的重要基地。历史沿革1950年4月，在邓小平、刘伯承、贺龙等老一辈无产阶级革命家的亲切关怀和指导下，中国人民解放军西南军政大学俄文训练团成立，
辽宁,丹东市,振安区,辽东学院,1948,辽宁省,,,,,0,0,0,0,1232,综合类,普通本科,公办,ldxyzsb@163.com,辽宁省丹东市振安区临江后街116号,http://www.elnu.edu.cn/,"0415-3789103,0415-3789102",辽东学院地处黄海之滨、鸭绿江畔，坐落在素有“英雄城市”“北国江南”美誉的中国最大最美边境城市——辽宁省丹东市，是全省唯一一所具备沿江、沿海、沿边区位特点的省属普通本科院校，是全省首批转型发展试点院校和中国应用技术大学联盟院校，为全省乃至全国工业企业、基础教育、财经管理、丝绸纺织、医疗卫生、农业技术等领域输送了近16万一线人才。学校办学
江西,南昌市,,江西财经大学,1923,江西省,,,,,1,13,7,0,2200,财经类,普通本科,公办,wts1@jxufe.edu.cn,蛟桥园校区：南昌市国家经济技术开发区双港东大街169号;麦庐园校区：南昌市国家经济技术开发区玉屏大道,http://www.jxufe.edu.cn/,0791-83816635,江西财经大学是一所财政部、教育部、江西省人民政府共建，以经济、管理类学科为主，法、工、文、理、艺术等学科协调发展的高等财经学府。2008年2月6日，温家宝总理与江西财大师生共度除夕，发表了重要讲话，并称赞说：“你们学校是所很好的学校”，激励着学校永葆奋斗精神，办好人民满意的教育。1、办学历史：江西财经大学的前身为1923年秋创办的江西省立商业学校
重庆,重庆市,沙坪坝区,重庆师范大学,1954,重庆市,,,,,16,25,1,0,2688,师范类,普通本科,公办,cszb@cqnu.edu.cn,重庆市大学城重庆师范大学虎溪校区,http://www.cqnu.edu.cn,023-65911111,文脉深厚，教泽流长。重庆师范大学创办于1954年，是重庆市人民政府举办的全日制综合性普通本科院校，是西部教师教育事业的重要基地之一，办学历史源于1906年官立川东师范学堂。学校1986年获批硕士学位授予单位，2003年更名为重庆师范大学，2017年获批硕士研究生推免单位，2018年获批博士学位授予单位。作为新中国最早创办的高等师范院校之一，学校始终秉承“立教无类
重庆,重庆市,渝北区,西南政法大学,1950,重庆市,,,,,4,8,2,0,3000,政法类,普通本科,公办,xzbkzb@swupl.edu.cn,重庆市渝北区宝圣大道301号,http://www.swupl.edu.cn/,"023-67258088,023-67258828",西南政法大学位于著名历史文化名城、中西部地区唯一的直辖市——重庆，是新中国最早建立的高等政法学府，改革开放后国务院确定的全国首批重点大学，教育部和重庆市人民政府共建高校，国家首批卓越法律人才教育培养基地，来华留学生中国政府奖学金委托培养院校，中西部高校基础能力建设工程高校。学校前身为1950年创建的由刘伯承元帅担任校长的西南人民革命大学
江西,吉安市,青原区,井冈山大学,1958,江西省,,,,,0,1,0,1,2459,综合类,普通本科,公办,zszjc@163.com,江西省吉安市青原区学苑路28号,http://www.jgsu.edu.cn/,"0796-8116983,0796-8100735,0796-8110323",井冈山大学是江西省人民政府和教育部共同重点支持建设高校，是科技部与江西省人民政府会商支持建设高校，是同济大学对口支援高校，是一所融研究生教育、普通本科教育和留学生教育于一体的全日制综合性大学。学校位于中国革命摇篮井冈山所在地——江西省吉安市，于1958年创办，期间历经撤并和数易校名，2007年10月恢复更名为井冈山大学。现有4个校区，校园面积2440
江西,景德镇市,,景德镇陶瓷大学,1910,江西省,,,,,0,13,3,0,2000,理工类,普通本科,公办,tyzsb@vip.163.com,江西省景德镇市湘湖,http://www.jci.edu.cn/,"0798-8499720,0798-8463033",景德镇陶瓷大学是全国惟一一所以陶瓷命名的多科性本科高校，是全国首批31所独立设置的本科艺术院校之一、94所有资格招收享受中国政府奖学金攻读硕士(学士)学位留学生的高校之一，是“中西部高校基础能力建设工程”支持高校、教育部卓越工程师教育培养计划高校、教育部深化创新创业教育改革示范高校和江西省首批转型发展试点高校。现已发展成为全国乃至世界陶瓷
重庆,重庆市,南岸区,重庆邮电大学,1950,重庆市,,,,,0,18,2,12,3800,理工类,普通本科,公办,cqzb@cqupt.edu.cn,重庆市南岸区南山街道崇文路2号,http://www.cqupt.edu.cn/,"023-62468661,023-62468662",工业和信息化部重庆市人民政府共建高校国家“中西部高等教育振兴计划”支持高校教育部“卓越工程师教育培养计划”实施高校国家技术发明奖、国家科技进步奖、国家教学成果奖、全国科学大会奖、中国高校十大科技进展成果获得单位博士学位授予单位国家高技术产业化示范工程基地全国信息产业科技创新先进集体全国大学生文化素质教育基地全国毕业生就业典型经验高
辽宁,沈阳市,,沈阳医学院,1949,辽宁省,,,,,0,3,0,0,732,医药类,普通本科,公办,symczs@163.com,沈阳市黄河北大街146号,http://www.symc.edu.cn/index.htm,"024-62215829,024-62215696",沈阳医学院是教育部批准的全日制普通高等学校，建校69年来，实施特色发展、错位发展、转型发展和内涵发展战略，已发展成为一所办学条件完善、办学特色鲜明、教育质量提高和学术水平提升的本科医学院校。2007年在教育部本科教学水平评估中荣获“优秀”;2009年成为硕士学位授权立项建设单位;2013年获得硕士学位授予权并顺利通过临床医学专业认证;2016年被辽宁省教育厅
重庆,重庆市,万州区,重庆三峡学院,1956,重庆市,,,,,0,4,0,0,3039,综合类,普通本科,公办,zsb@sanxiau.edu.cn,重庆三峡学院百安校区（重庆市万州区五桥天星路666号 ）,http://www.sanxiau.edu.cn/,"023-58102264,023-58106645,023-58106702,023-58102342,023-58102133",重庆三峡学院始建于1956年，现坐落于千年古城、移民之都——重庆市万州区，是三峡库区腹地唯一的一所综合性应用型本科院校(学校代码10643)。2013年，被国务院学位委员会批准为硕士学位授予单位。历经60余年发展，学校成为重庆市首所倡导“绿色教育理念”、力推“绿色教育产教融合”的本科高校。现已形成以工学、文学、管理学为主要学科门类，理学、农学、经济学、教
新疆,自治区直辖县级行政区划,石河子市,石河子大学,1949,新疆生产建设兵团,,是,是,,2,26,8,0,2691,综合类,普通本科,公办,zsb@shzu.edu.cn,新疆维吾尔自治区石河子市北四路,http://www.shzu.edu.cn/,"0993-2092827,0993-2057933,0993-2022703",石河子大学是国家“211工程”重点建设高校、国家西部重点建设高校和省部共建高校，是“中西部高校基础能力建设工程”和“中西部高校综合实力提升工程”(一省一校)入选高校。2017年学校入选国家“双一流”建设一流学科建设高校，2018年入选“部省合建”高校，纳入教育部直属高校排序。学校前身诞生于1949年9月中国人民解放军解放新疆的进军途中，1996年4月由农业部部属
辽宁,沈阳市,,中国刑事警察学院,1948,公安部,,,,,0,3,0,2,775,政法类,普通本科,公办,zsb@cipuc.edu.cn,辽宁省沈阳市塔湾街83号,http://www.cipuc.edu.cn/,024-86982243,中国刑事警察学院是公安部直属本科高等院校。学院始建于1948年5月，前身是东北公安干部学校，后改为中央人民警察干部学校、公安部第一人民警察干部学校、公安部人民警察干部学校，1981年11月25日，经国务院批准，升格为中国刑事警察学院，成为我国第一所开展公安专业本科学历教育的公安院校。学院在建设和发展过程中始终得到党和国家领导人的高度重视和亲切关怀，
江西,上饶市,信州区,上饶师范学院,1958,江西省,,,,,0,0,0,0,1594,师范类,普通本科,公办,,江西省上饶市信州区志敏大道401号,http://www.sru.jx.cn/,"0793-8150684,0793-8154858,0793-8153941",上饶师范学院的前身是1958年建立的上饶师专，1959年更名为赣东北大学，文革期间停办。1977年复校，2000年3月经教育部、江西省人民政府批准升格为上饶师范学院。2005年11月，顺利通过了教育部本科教学工作水平评估。目前，校园占地面积1116亩，规划面积1500亩，校舍建筑总面积38.7万平方米，全日制在校学生14617人(本科13645人，专科972人)。学校现有在岗教职工976人，其中任课教
辽宁,沈阳市,皇姑区,辽宁中医药大学,1958,辽宁省,,,,,1,3,3,6,1040,医药类,普通本科,公办,admin@ask.cn,沈阳市皇姑区崇山东路79号,http://www.lnutcm.edu.cn/,"024-31207666,024-31207248",辽宁中医药大学前身为辽宁省中医进修学校(1955年)、辽宁省中医医院(1956年)。1958年经中共辽宁省委批准组建辽宁中医学院，同年学校招收第一批中医专业学生。2006年经教育部批准，学校由“辽宁中医学院”更名为“辽宁中医药大学”。2013年经辽宁省批准，学校增具“辽宁省中医药科学院”名称。建校60年来，辽宁中医药大学建成了“一校三区”的发展格局，主校区位于辽宁省
江西,南昌市,东湖区,江西中医药大学,1959,江西省,,,,,0,6,2,1,2308,医药类,普通本科,公办,zjb@mail.jxtcmi.com,江西省南昌市湾里区兴湾大道818号,https://www.jxutcm.edu.cn/,"0791-87119528,0791-87119529",江西中医药大学创建于1959年。学校坚持“为国家改革发展服务，为中医药事业发展服务，为地方经济发展和社会全面进步服务”的办学宗旨，弘扬“惟学、惟人、求强、求精”的校训，以“培养适应社会进步和中医药事业发展需要，具有市场竞争力的实践型、创新型、创业型人才”为目标，努力办好人民满意的大学。获“全国和全省党的建设和思想政治工作先进高校”“第四
重庆,重庆市,沙坪坝区,四川美术学院,1940,重庆市,,,,,0,4,0,2,1200,艺术类,普通本科,公办,zhaoban@scfai.edu.cn,重庆市沙坪坝区大学城四川美术学院,http://www.scfai.edu.cn,"023-65921056,023-65921055",历史沿革迄今办学79年的四川美术学院，前身的一脉是1940年由李有行、沈福文等归国艺术教育家在成都创立的四川省立艺术专科学校，一脉是1950年西北军政大学艺术骨干南下重庆创立的西南人民艺术学院。1953年，两校美术、设计类学科合并，成立西南美术专科学校，定址重庆市九龙坡区黄桷坪，并于次年开始兴办附属中等美术学校。1959年，更名为四川美术学院，招收4年制本
辽宁,锦州市,,锦州医科大学,1946,辽宁省,,,,,0,8,0,0,1493,医药类,普通本科,公办,zs@lnmu.edu.cn,辽宁省锦州市松坡路三段40号,http://www.jzmu.edu.cn/,"0416-4673436,0416-4673536",锦州医科大学诞生于解放战争时期，学校前身为1946年在吉林省洮南市成立的辽吉军区卫生学校。1949年迁址辽宁省锦州市，1958年成立锦州医学院，2006年更名为辽宁医学院。2007年以优秀的成绩通过国家教育部本科教学工作水平评估。2016年3月，经国家教育部批准，正式更名为锦州医科大学。经过70余年的发展已成为一所以医学为主，多门类、多层次、多种办学形式的省属普通高
江西,南昌市,,江西科技师范大学,1952,江西省,,,,,0,13,0,0,2162,师范类,普通本科,公办,zs11318@163.com,枫林校区地址：南昌市经济技术开发区枫林大道605号;红角洲校区地址：南昌市红角洲学府大道589号,http://www.jxstnu.edu.cn/,"0971-83835961,0971-83805935",江西科技师范大学坐落于享有“物华天宝、人杰地灵”盛誉的历史文化名城——南昌。学校是教育部重点建设的培养职业教育师资的多科性本科院校，也是全国职业教育研究的重要基地，主要培养职教师资、普教师资和应用型专门人才。经过60多年的建设与发展，学校形成了以本科、研究生教育为主体，统筹发展继续教育的多学科、多层次的办学格局。2008年，学校以“优秀”
重庆,重庆市,巴南区,重庆理工大学,1940,重庆市,,,,,0,15,0,4,2591,理工类,普通本科,公办,cgzs@cqut.edu.cn,花溪校区：重庆市巴南区红光大道69号;两江校区：重庆市渝北区龙兴镇普福大道459号,http://www.cqut.edu.cn,"023-68822995,023-68654964",抗战烽火淬炼，兵工血脉浸润。重庆理工大学是重庆市重点建设高校，是西南地区唯一一所具有兵工背景的普通高等本科院校。学校溯源于1940年创办的国民政府兵工署第11技工学校(对外化名“士继公学”)。1950年后，学校先后更名为21兵工厂工业职业学校、西南军政委员会西南工业部工业学校、重庆机械工业学校、第二机械工业部西南第一工业学校、重庆工业学校、重庆机械制
江西,九江市,武宁县,九江学院,1901,江西省,,,,,0,0,0,0,3443,综合类,普通本科,公办,zjc@jju.edu.cn,江西省九江市前进东路551号,http://www.jju.edu.cn,"0792-8310030,0792-8310031",九江学院是经国家教育部批准设立的国有公办全日制本科普通高等院校，办学历史可上溯至1901年美国基督教卫理公会创办的但福德医院护士学校，现办学体制为“省市共建、以市为主”。学校坐落在长江中下游历史文化名城——江西省九江市，地处赣、鄂、湘、皖四省交界区域，位于庐山之麓、长江之滨、鄱阳湖之畔。名城、名山、名江、名湖造就了九江学院的灵气，尤其是
辽宁,大连市,,大连民族大学,1984,国家民族事务委员会,,,,,12,2,0,7,1600,民族类,普通本科,公办,zs@dlnu.edu.cn,辽宁省大连经济技术开发区辽河西路18号,https://www.dlnu.edu.cn/hhh/index.htm,0411-87656067,大连民族大学位于海滨城市大连，隶属于国家民族事务委员会，是全国110多所中央部委直属高校之一，是国家唯一设在东北和沿海开放地区、以工科为主多学科协调发展的综合性民族高等学校。学校1984年立项筹建，1993年招生办学，是国家民委、教育部、辽宁省政府、大连市政府共建高校。学校工业设计、生物工程、产品设计、网络工程、电子信息工程等5个专业获批国家级一
辽宁,鞍山市,,鞍山师范学院,1958,辽宁省,,,,,0,1,0,0,1125,师范类,普通本科,公办,aszs@mail.asnc.edu.cn,辽宁省鞍山市铁东区平安街43号;辽宁省鞍山市千山区千山西路690号,http://www.asnc.edu.cn,"0412-2961701,0412-2960989",鞍山师范学院是一所全日制普通本科师范院校，位于拥有世界第一玉佛、亚洲著名温泉、国家名胜千山、中华宝玉之都和祖国钢铁之都的优秀旅游城市、国家卫生城市——辽宁省鞍山市。学校始建于1958年，1978年恢复建立鞍山师范专科学校，1993年恢复本科鞍山师范学院，2004年通过了国家教育部本科教学评估，2011年获批教育硕士专业学位研究生培养单位。2013年获批中国政府奖
辽宁,沈阳市,,鲁迅美术学院,1938,辽宁省,,,,,0,3,0,0,696,艺术类,普通本科,公办,,"辽宁省沈阳市和平区三好街19号,大连市金州新区金石滩金石路39号",http://www.lumei.edu.cn/,024-23930671,鲁迅美术学院前身是1938年建于延安的鲁迅艺术学院，由毛泽东、周恩来等老一代领导人亲自倡导创建。毛泽东同志为学院书写校名和“紧张、严肃、刻苦、虚心”的校训。1945年，延安鲁艺迁校至东北。1958年发展为鲁迅美术学院。1998年，江泽民同志为学院题词：“弘扬鲁艺传统，培育艺术人才，繁荣社会主义文化事业”。悠久的办学历史积淀了学院深厚的文化内涵和领先的办
江西,赣州市,,赣南师范大学,1958,江西省,,,,,0,16,0,2,2200,师范类,普通本科,公办,gnsfxyjw@163.com,江西省赣州市赣州开发区师院南路,http://www.gnnu.cn,0797-8393638,赣南师范大学位于国家历史文化名城、江西省域副中心城市、素有“江南宋城、客家摇篮、红色故都、生态家园、稀土王国、世界钨都、脐橙之乡”之美誉的赣州市。学校创办于1958年6月，时为赣南师范专科学校；1984年更名为赣南师范学院，升格为省属本科师范院校；2003年成为硕士学位授予单位；2016年3月，经教育部批准更名为赣南师范大学；2017年12月，顺利接受教育部本科
辽宁,沈阳市,和平区,沈阳音乐学院,1938,辽宁省,,,,,0,2,0,0,690,艺术类,普通本科,公办,sy10177@163.com,辽宁省沈阳市和平区三好街61号,http://www.sycm.com.cn,024-23894405,沈阳音乐学院的前身是1938年由毛泽东、周恩来等老一辈无产阶级革命家在延安倡导成立的鲁迅艺术学院，是中国共产党创办的第一所高等艺术学院，毛泽东亲笔题写了“紧张、严肃、刻苦、虚心”的校训。抗日战争胜利后，学院由延安迁至东北，1949年更名为东北鲁迅文艺学院。1953年在东北鲁迅文艺学院音乐部的基础上，成立了东北音乐专科学校，1958年更名为沈阳音乐学院。
重庆,重庆市,涪陵区,长江师范学院,1931,重庆市,,,,,0,0,0,1,1740,师范类,普通本科,公办,cjsyzsb@163.com,重庆市涪陵区聚贤大道16号,http://www.yznu.cn/,023-72791999,长江师范学院是一所重庆市政府直属的普通本科院校。学校长期致力于做精新师范、做强新工科、做实新文科、做特艺术学科，多学科融合发展取得显著成效！校园环境优雅学校位于重庆市涪陵区，地处长江经济带重要工业走廊，成渝地区双城经济圈东部中心城市。校园文脉绵延、绿树成荫、湖光潋滟、江石卓立，优美的自然生态与厚重的文化景观相得益彰。“鉴湖文化长廊
江西,赣州市,,赣南医学院,1941,江西省,,,,,0,4,0,0,1936,医药类,普通本科,公办,8269722@163.com,"黄金校区：江西省赣州蓉江新区和谐大道1号,章贡校区：江西省赣州市章贡区医学院路1号",http://www.gmu.cn/,"0797-8269722,0797-8269755",赣南医学院位于千年宋城——江西省赣州市内，是江西省人民政府举办的全日制普通高等医学本科院校。中国科学院院士韩济生教授担任名誉院长。学校前身是创办于1941年的江西省立赣县高级助产职业学校，1958年设置专科建制的赣南医学专科学校，1988年升格为本科院校并更名为赣南医学院，2013年国务院学位委员会批准为硕士学位授予单位，2008年与湖南中医药大学联合开展中
辽宁,沈阳市,浑南区,沈阳理工大学,1948,辽宁省,,,,,5,12,0,1,1695,理工类,普通本科,公办,,辽宁省沈阳市浑南区南屏中路6号,http://www.sylu.edu.cn/,024-24686088,沈阳理工大学前身是东北军区军工部工业专门学校，创建于1948年。1960年组建成立沈阳工业学院，2004年经教育部批准更名为沈阳理工大学。2010年辽宁省人民政府与中国兵器装备集团、中国兵器工业集团签署了共建沈阳理工大学协议。2016年获批“国家国防科技工业局与辽宁省人民政府共建高校”，成为省局共建的国防特色院校。学校是国家卓越工程师教育培养计划试点高校，是
辽宁,大连市,,大连医科大学,1947,辽宁省,,,,,1,11,4,1,2265,医药类,普通本科,公办,dy_zhaosheng@163.com,辽宁省大连市旅顺南路西段9号,http://www.dmu.edu.cn/,0411-86110222,大连医科大学创建于1947年，前身为关东医学院。1949年并入大连大学，称大连大学医学院。1950年撤销大连大学建制，大连医学院独立。1969年大连医学院举校南迁贵州省遵义市，建立遵义医学院。1978年在大连市原址复办，仍称大连医学院。1994年更名为大连医科大学。学校现已发展成为以医学为主，理学、工学、管理学、艺术学、法学和哲学等多学科发展的医科大学。学校位于
江西,宜春市,奉新县,宜春学院,1958,江西省,,,,,0,0,0,0,2021,综合类,普通本科,公办,ycxyzsbgs@163.com,"校本部：江西省宜春市学府路576号,北校区：江西省宜春市宜春北路128号",http://www.ycu.jx.cn/,"0795-3201926,0795-3201962",宜春学院地处赣西中心城市——江西省宜春市。宜春自古就有“江南佳丽之地，文物昌盛之邦”的美誉，是国家第一批生态试点城市、国家园林城市、全国绿化模范城市、中国优秀旅游城市和全国卫生城市。宜春风光旖旎，交通便利，沪瑞高速、杭长高铁、浙赣铁路穿城而过，明月山民用机场四通八达。宜春学院的前身是1958年创办的宜春大学。2000年1月，经国家教育部批准，
辽宁,沈阳市,沈北新区,沈阳航空航天大学,1952,辽宁省,,,,,0,15,1,0,1731,理工类,普通本科,公办,zsb@sau.edu.cn,辽宁省沈阳市沈北新区道义南大街37号,https://www.sau.edu.cn/,024-89724466,沈阳航空航天大学是一所以航空宇航为特色，以工为主，工、理、文、经、管、艺等学科协调发展的多科性高等院校，是教育部、中航工业集团公司与辽宁省三方共建高校，是国防科工局与辽宁省共建高校，是辽宁省装备制造业紧缺人才(航空航天)培养基地，已经基本建设成为“国防科技人才培养基地”、“辽宁老工业振兴人才培养基地”，努力打造“国内一流的装备制造技术
辽宁,大连市,,大连外国语大学,1964,辽宁省,,,,,5,2,0,2,1892,语言类,普通本科,公办,,大连市旅顺南路西段6号,http://www.dlufl.edu.cn/,"0411-86111157,0411-86111158",大连外国语大学地处辽宁省大连市，是辽宁省省属高校，是东北地区唯一一所公立外国语大学。学校于1964年在周恩来总理的亲切关怀下成立，时名大连日语专科学校，1970年更名为辽宁外语专科学校，1974年开办本科教育，1978年更名为大连外国语学院，2013年更名为大连外国语大学，目前已发展成为以外语为主，以国际化办学为特色，拥有文学、经济学、管理学、工学、法学、艺
辽宁,大连市,金州区,大连大学,1949,辽宁省,,,,,7,19,0,60,1869,综合类,普通本科,公办,dldxzsb@126.com,辽宁省大连市经济技术开发区学府大街10号,http://www.dlu.edu.cn/,"0411-87403633,0411-87403668",大连大学的历史可以追溯到始建于1949年4月成立的大连大学（1950年7月大连大学建制撤销，1978年10月成立大连工学院旅大分校，后为大连工学院分院，1983年11月大连工学院大连分院独立办学更名为大连大学）、1948年3月成立的关东文法专门学校（后为大连师范专科学校）、1950年10月成立的旅大市卫生学校（后为大连市卫生学校）。1987年10月，大连大学、大连师范专科学校、大连
辽宁,大连市,,大连海洋大学,1952,辽宁省,,,,,0,13,0,2,1110,农林类,普通本科,公办,zsb@dlou.edu.cn,黄海校区：辽宁省大连市沙河口区黑石礁街52号;渤海校区：辽宁省大连市甘井子区营平路288号,http://www.dlou.edu.cn/,"0411-84763156,0411-84763157,0411-84763158",大连海洋大学是我国北方地区唯一的一所以海洋和水产学科为特色，农、工、理、管、文、法、经、艺等学科协调发展的多科性高等院校。学校创建于1952年，前身为东北水产技术学校，1958年升格为大连水产专科学校，1978年升格为大连水产学院。2000年由农业部划转辽宁省管理。2010年经教育部批准更名为大连海洋大学。学校坐落于美丽的海滨城市大连。有黄海校区、渤海校区和
辽宁,沈阳市,沈河区,沈阳药科大学,1931,辽宁省,,,,,1,7,2,3,2152,医药类,普通本科,公办,zs@syphu.edu.cn,沈阳市沈河区文化路103号,http://www.syphu.edu.cn/,024-43520666,沈阳药科大学1931年始建于江西瑞金，前身是在中国共产党和毛主席领导关怀下创办的中国工农红军卫生学校调剂班。1934年，学校跟随红军长征，在两万五千里征途中历练，边走边学，边学边战，“马背上的药箱”精神与光荣传承至今，为祖国革命事业和药学事业发展培养了十多万名药学专门人才，是我国历史最悠久的综合性药科大学。学校总占地面积143.45万平方米，总建筑面
辽宁,大连市,沙河口区,辽宁师范大学,1951,辽宁省,,,,,0,25,9,0,2100,师范类,普通本科,公办,,辽宁省大连市沙河口区850号,http://www.lnnu.edu.cn/,0411-82158993,辽宁师范大学是一所省属重点大学，坐落在中国北方美丽的海滨城市——大连，是辽宁省“双一流”建设“国内高水平大学”重点建设高校、教育部“卓越中学教师培养计划”实施学校、辽宁省教育事业发展联盟理事长单位，是辽宁省基础教育师资培养与继续教育基地、教育科学研究咨询基地、高校师资培训基地、适应地区经济建设与社会发展需要的科研基地，现已成为辽宁
